system:index,tx,ty,zoom,.geo
704,6490,3843,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416124562762,11.005004575039463],[105.24994032287249,11.005004575039463],[105.24994032287249,11.04993902765831],[105.20416124562762,11.04993902765831],[105.20416124562762,11.005004575039463]]]}"
708,6490,3847,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416178041461,10.832406099021727],[105.24993978808548,10.832406099021727],[105.24993978808548,10.877365664164724],[105.20416178041461,10.877365664164724],[105.20416178041461,10.832406099021727]]]}"
709,6490,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2041619127635,10.789240865700776],[105.24993965573661,10.789240865700776],[105.24993965573661,10.834206650042207],[105.2041619127635,10.834206650042207],[105.2041619127635,10.789240865700776]]]}"
712,6490,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416230657656,10.659708069003251],[105.24993926192353,10.659708069003251],[105.24993926192353,10.704692369221224],[105.20416230657656,10.704692369221224],[105.20416230657656,10.659708069003251]]]}"
713,6490,3852,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416243676999,10.616518183328584],[105.2499391317301,10.616518183328584],[105.2499391317301,10.661508608207816],[105.20416243676999,10.661508608207816],[105.20416243676999,10.616518183328584]]]}"
714,6490,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416256642473,10.5733221937109],[105.24993900207537,10.5733221937109],[105.24993900207537,10.618318719573752],[105.20416256642473,10.618318719573752],[105.20416256642473,10.5733221937109]]]}"
757,6491,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810360878901,11.909453671157685],[105.29388858471201,11.909453671157685],[105.29388858471201,11.954250135975352],[105.24810360878901,11.954250135975352],[105.24810360878901,11.909453671157685]]]}"
770,6491,3835,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810546265878,11.34989683776508],[105.29388673084225,11.34989683776508],[105.29388673084225,11.39477993752663],[105.24810546265878,11.39477993752663],[105.24810546265878,11.34989683776508]]]}"
771,6491,3836,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810560148167,11.3068078231467],[105.29388659201936,11.3068078231467],[105.29388659201936,11.35169742402106],[105.24810560148167,11.35169742402106],[105.24810560148167,11.3068078231467]]]}"
772,6491,3837,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810573976461,11.263712327885516],[105.2938864537364,11.263712327885516],[105.2938864537364,11.308608406478752],[105.24810573976461,11.308608406478752],[105.24810573976461,11.263712327885516]]]}"
773,6491,3838,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2481058775077,11.220610375391432],[105.29388631599332,11.220610375391432],[105.29388631599332,11.26551290829137],[105.2481058775077,11.26551290829137],[105.2481058775077,11.220610375391432]]]}"
774,6491,3839,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.248106014711,11.177501989092493],[105.29388617879,11.177501989092493],[105.29388617879,11.222410952868822],[105.248106014711,11.222410952868822],[105.248106014711,11.177501989092493]]]}"
775,6491,3840,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810615137461,11.134387192434774],[105.2938860421264,11.134387192434774],[105.2938860421264,11.179302563639157],[105.24810615137461,11.179302563639157],[105.24810615137461,11.134387192434774]]]}"
783,6491,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810722526395,10.789240865700776],[105.29388496823707,10.789240865700776],[105.29388496823707,10.834206650042205],[105.24810722526395,10.834206650042205],[105.24810722526395,10.789240865700776]]]}"
784,6491,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810735707385,10.746069433838885],[105.29388483642717,10.746069433838885],[105.29388483642717,10.791041413770545],[105.24810735707385,10.791041413770545],[105.24810735707385,10.746069433838885]]]}"
788,6491,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810787892517,10.5733221937109],[105.29388431457586,10.5733221937109],[105.29388431457586,10.618318719573752],[105.24810787892517,10.618318719573752],[105.24810787892517,10.5733221937109]]]}"
789,6491,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2481080080413,10.530120123842874],[105.29388418545972,10.530120123842874],[105.29388418545972,10.57512272699452],[105.2481080080413,10.57512272699452],[105.2481080080413,10.530120123842874]]]}"
831,6492,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29204892128949,11.909453671157685],[105.33783389721242,11.909453671157685],[105.33783389721242,11.954250135975354],[105.29204892128949,11.954250135975354],[105.29204892128949,11.909453671157685]]]}"
857,6492,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29205253776442,10.789240865700776],[105.3378302807375,10.789240865700776],[105.3378302807375,10.834206650042207],[105.29205253776442,10.834206650042207],[105.29205253776442,10.789240865700776]]]}"
858,6492,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29205266957435,10.746069433838885],[105.33783014892758,10.746069433838885],[105.33783014892758,10.791041413770543],[105.29205266957435,10.791041413770543],[105.29205266957435,10.746069433838885]]]}"
863,6492,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29205332054178,10.530120123842876],[105.33782949796014,10.530120123842876],[105.33782949796014,10.575122726994516],[105.29205332054178,10.575122726994516],[105.29205332054178,10.530120123842876]]]}"
864,6492,3855,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2920534491194,10.486911997434385],[105.33782936938252,10.486911997434385],[105.33782936938252,10.531920654162791],[105.2920534491194,10.531920654162791],[105.2920534491194,10.486911997434385]]]}"
905,6493,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599423378992,11.909453671157685],[105.3817792097129,11.909453671157685],[105.3817792097129,11.954250135975354],[105.33599423378992,11.954250135975354],[105.33599423378992,11.909453671157685]]]}"
906,6493,3823,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599437963959,11.866451026842759],[105.38177906386323,11.866451026842759],[105.38177906386323,11.911254295214535],[105.33599437963959,11.911254295214535],[105.33599437963959,11.866451026842759]]]}"
931,6493,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599785026486,10.789240865700776],[105.38177559323796,10.789240865700776],[105.38177559323796,10.834206650042207],[105.33599785026486,10.834206650042207],[105.33599785026486,10.789240865700776]]]}"
932,6493,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599798207476,10.746069433838885],[105.38177546142806,10.746069433838885],[105.38177546142806,10.791041413770547],[105.33599798207476,10.791041413770547],[105.33599798207476,10.746069433838885]]]}"
933,6493,3850,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599811334577,10.702891827059423],[105.38177533015707,10.702891827059423],[105.38177533015707,10.747869978955759],[105.33599811334577,10.747869978955759],[105.33599811334577,10.702891827059423]]]}"
934,6493,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599824407793,10.659708069003251],[105.3817751994249,10.659708069003251],[105.3817751994249,10.704692369221224],[105.33599824407793,10.704692369221224],[105.33599824407793,10.659708069003251]]]}"
935,6493,3852,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599837427134,10.616518183328584],[105.38177506923148,10.616518183328584],[105.38177506923148,10.661508608207816],[105.33599837427134,10.661508608207816],[105.33599837427134,10.616518183328584]]]}"
936,6493,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599850392608,10.5733221937109],[105.38177493957674,10.5733221937109],[105.38177493957674,10.61831871957375],[105.33599850392608,10.61831871957375],[105.33599850392608,10.5733221937109]]]}"
937,6493,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599863304221,10.530120123842874],[105.3817748104606,10.530120123842874],[105.3817748104606,10.57512272699452],[105.33599863304221,10.57512272699452],[105.33599863304221,10.530120123842874]]]}"
938,6493,3855,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.3359987616198,10.486911997434385],[105.381774681883,10.486911997434385],[105.381774681883,10.531920654162791],[105.3359987616198,10.531920654162791],[105.3359987616198,10.486911997434385]]]}"
939,6493,3856,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599888965898,10.443697838212397],[105.38177455384384,10.443697838212397],[105.38177455384384,10.48871252478847],[105.33599888965898,10.48871252478847],[105.33599888965898,10.443697838212397]]]}"
980,6494,3823,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37993969214004,11.866451026842759],[105.42572437636369,11.866451026842759],[105.42572437636369,11.911254295214539],[105.37993969214004,11.911254295214539],[105.37993969214004,11.866451026842759]]]}"
1008,6494,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994355657838,10.65970806900325],[105.42572051192536,10.65970806900325],[105.42572051192536,10.704692369221226],[105.37994355657838,10.704692369221226],[105.37994355657838,10.65970806900325]]]}"
1009,6494,3852,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994368677181,10.616518183328584],[105.42572038173195,10.616518183328584],[105.42572038173195,10.661508608207814],[105.37994368677181,10.661508608207814],[105.37994368677181,10.616518183328584]]]}"
1010,6494,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994381642653,10.5733221937109],[105.42572025207721,10.5733221937109],[105.42572025207721,10.61831871957375],[105.37994381642653,10.61831871957375],[105.37994381642653,10.5733221937109]]]}"
1013,6494,3856,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994420215945,10.443697838212397],[105.42571986634431,10.443697838212397],[105.42571986634431,10.488712524788466],[105.37994420215945,10.488712524788466],[105.37994420215945,10.443697838212397]]]}"
1014,6494,3857,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994432966022,10.400477669920864],[105.42571973884353,10.400477669920864],[105.42571973884353,10.445498362598512],[105.37994432966022,10.445498362598512],[105.37994432966022,10.400477669920864]]]}"
1053,6495,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.42388485879086,11.909453671157683],[105.46966983471384,11.909453671157683],[105.46966983471384,11.954250135975355],[105.42388485879086,11.954250135975355],[105.42388485879086,11.909453671157683]]]}"
1054,6495,3823,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.42388500464052,11.866451026842759],[105.46966968886416,11.866451026842759],[105.46966968886416,11.911254295214535],[105.42388500464052,11.911254295214535],[105.42388500464052,11.866451026842759]]]}"
1084,6495,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.423889128927,10.5733221937109],[105.46966556457768,10.5733221937109],[105.46966556457768,10.618318719573752],[105.423889128927,10.618318719573752],[105.423889128927,10.5733221937109]]]}"
1085,6495,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.42388925804313,10.530120123842874],[105.46966543546154,10.530120123842874],[105.46966543546154,10.575122726994516],[105.42388925804313,10.575122726994516],[105.42388925804313,10.530120123842874]]]}"
1088,6495,3857,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.4238896421607,10.400477669920864],[105.469665051344,10.400477669920864],[105.469665051344,10.445498362598512],[105.4238896421607,10.445498362598512],[105.4238896421607,10.400477669920864]]]}"
1089,6495,3858,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.42388976912319,10.357251516320789],[105.4696649243815,10.357251516320789],[105.4696649243815,10.402278191336897],[105.42388976912319,10.402278191336897],[105.42388976912319,10.357251516320789]]]}"
